Nome,Variações
TYRION LANNISTER,TYRION
JON SNOW,JON
DAENERYS TARGARYEN,DAENERYS
CERSEI LANNISTER,CERSEI
JAIME LANNISTER,JAIME
SANSA STARK,SANSA
ARYA STARK,ARYA
DAVOS SEAWORTH,DAVOS
SAMWELL TARLY,SAM
THEON GREYJOY,THEON
BRIENNE OF TARTH,BRIENNE
SANDOR CLEGANE,"THE HOUND, HOUND"
PETYR BAELISH,LITTLEFINGER
BRONN,BRONN
TYWIN LANNISTER,TYWIN
VARYS,VARYS
BRAN STARK,BRAN
JORAH MORMONT,JORAH
STANNIS BARATHEON,STANNIS
MARGAERY TYRELL,MARGAERY
RAMSAY BOLTON,RAMSAY
MELISANDRE,MELISANDRE
ROBB STARK,ROBB
TORMUND GIANTSBANE,TORMUND
JOFFREY BARATHEON,JOFFREY
OLENNA TYRELL,OLENNA
GILLY,GILLY
GENDRY,GENDRY
SHAE,SHAE
MISSANDEI,MISSANDEI
CATELYN STARK,CATELYN
YGRITTE,YGRITTE
HIGH SPARROW,HIGH SPARROW
DAARIO NAHARIS,DAARIO
PODRICK PAYNE,"PODRICK, POD"
YARA GREYJOY,YARA
OBERYN MARTELL,OBERYN
ROOSE BOLTON,ROOSE
TOMMEN BARATHEON,TOMMEN
QYBURN,QYBURN
GREY WORM,GREY WORM
JAQEN H'GHAR,JAQEN
OSHA,OSHA
TALISA MAEGYR,TALISA
THOROS OF MYR,THOROS
BERIC DONDARRION,BERIC
MEERA REED,MEERA
SHIREEN BARATHEON,SHIREEN
EURON GREYJOY,EURON
DOLOROUS EDD,EDD
ALLISER THORNE,ALLISER
BARRISTAN SELMY,BARRISTAN
PYCELLE,PYCELLE
LORAS TYRELL,LORAS
JOJEN REED,JOJEN
HOT PIE,HOT PIE
ELLARIA SAND,ELLARIA
NED STARK,NED
LANCEL LANNISTER,LANCEL
MANCE RAYDER,MANCE
JANOS SLYNT,JANOS
GRENN,GRENN
LOCKE,LOCKE
JEOR MORMONT,JEOR
ROS,ROS
MARWYN,MARWYN
WALDER FREY,WALDER
MAESTER LUWIN,LUWIN
BRYNDEN TULLY,BRYNDEN
RENLY BARATHEON,RENLY
KARL TANNER,KARL
HIZDAHR ZO LORAQ,HIZDAHR
WAIF,WAIF
HODOR,HODOR
EDMURE TULLY,EDMURE
LYANNA STARK,LYANNA
YOHN ROYCE,YOHN
LADY CRANE,LADY CRANE
SELYSE BARATHEON,SELYSE
LYSA ARRYN,LYSA
XARO XHOAN DAXOS,XARO
QHORIN HALFHAND,QHORIN
MYRANDA,MYRANDA
BALON GREYJOY,BALON
RICKARD KARSTARK,RICKARD
MAESTER AEMON,AEMON
SALLADHOR SAAN,SALLADOR
OLYVAR,OLYVAR
KRAZNYS MO NAKLOZ,KRAZNYS
CRASTER,CRASTER
ALTON,ALTON
GUARD,GUARD
TYCHO,TYCHO
RAY,RAY
SOLDIER,SOLDIER
SPICE KING,SPICE KING
ORELL,ORELL
MACE TYRELL,MACE
MYRCELLA BARATHEON,MYRCELLA
MATTHOS,MATTHOS
ANGUY,ANGUY
ROBIN ARRYN,ROBIN
RANDYLL TARLY,RANDYLL
BENJEN STARK,BENJEN
RAST,RAST
DORAN MARTELL,DORAN
TYENE SAND,TYENE
POLLIVER,POLLIVER
THREE-EYED RAVEN,THREE-EYED RAVEN
MERYN TRANT,MERYN
OLLY,OLLY
KEVAN LANNISTER,KEVAN
SER DONTOS HOLLARD,SER DONTOS
PYAT PREE,PYAT
YOREN,YOREN
DAGMER,DAGMER
MERO,MERO
MAESTER WOLKAN,WOLKAN
KHAL MORO,MORO
SMALLJON UMBER,SMALLJON
LORD OF BONES,LORD OF BONES
PYP,PYP
OBARA SAND,OBARA
ROBETT GLOVER,ROBETT
ROBERT BARATHEON,ROBERT
RICKON STARK,RICKON
BLACK WALDER,BLACK WALDER
STYR,STYR
IZEMBARO,IZEMBARO
CAMELLO,CAMELLO
DICKON TARLY,DICKON
VISERYS TARGARYEN,VISERYS
CAPTAIN,CAPTAIN
MALKO,MALKO
RODRIK CASSEL,RODRIK
AMORY,AMORY
LOTHAR,LOTHAR
OLD MAN,OLD MAN
MOSSADOR,MOSSADOR
ED,ED
LADY ANYA,ANYA
SEPTA UNELLA,UNELLA
BOBONO,BOBONO
ILLYRIO,ILLYRIO
PRISONER,PRISONER
THE TICKLER,TICKLER
RIDER,RIDER
VIOLET,VIOLET
LADY WALDA,WALDA
NYMERIA SAND,NYMERIA
KARSI,KARSI
LOBODA,LOBODA
DROWNED PRIEST,DROWNED PRIEST
GREGOR CLEGANE,"THE MOUNTAIN, MOUNTAIN"
RADZAL MO ERAZ,RADZAL
FARMER HAMLET,FARMER HAMLET
MOLE'S TOWN WHORE,MOLE'S TOWN WHORE
TRYSTANE MARTELL,TRYSTANE
MELESSA,MELESSA
DERRYK,DERRYK
DOREAH,DOREAH
RORGE,RORGE
RENNICK,RENNICK
GIRL,GIRL
BLACK LORREN,LORREN
QUAITHE,QUAITHE
DYING MAN,DYING MAN
MAGGY,MAGGY
KINVARA,KINVARA
GOLD CLOAK,GOLD CLOAK
TORTURER,TORTURER
RALF,RALF
BLACK HAIRED PROSTITUTE,BLACK HAIRED PROSTITUTE
CLARENZO,CLARENZO
GATINS,GATINS
GUARD CAPTAIN,GUARD CAPTAIN
HARRAG,HARRAG
KHAL DROGO,DROGO
KOVARRO,KOVARRO
HAYLENE,HAYLENE
PROSTITUTE,PROSTITUTE
FREY SOLDIER,FREY SOLDIER
JOFFREY DWARF,JOFFREY DWARF
FENNESZ,FENNESZ
LOLLYS STOKEWORTH,LOLLYS
AREO HOTAH,AREO
BANKER,BANKER
ARTHUR,ARTHUR
LHAZAREEN WOMAN,LHAZAREEN WOMAN
NORA,NORA
MAID,MAID
ANNOUNCER,ANNOUNCER
CRESSEN,CRESSEN
IRRI,IRRI
WOUNDED SOLDIER,WOUNDED SOLDIER
HANDMAIDEN,HANDMAIDEN
MARTYN,MARTYN
PRENDAHL,PRENDAHL
MORGAN,MORGAN
MELARA,MELARA
MAESTER,MAESTER
YEZZAN,YEZZAN
CRAYAH,CRAYAH
LORD,LORD
DAISY,DAISY
LOMMY,LOMMY
BOY,BOY
FREY MEN,FREY MEN
BROTHER,BROTHER
PRIESTESS,PRIESTESS
SLAVE OWNER,SLAVE OWNER
RAZDAL,RAZDAL
BIANCA,BIANCA
LEM,LEM
DIRAH,DIRAH
WILL,WILL
